Submission name	Chromsome or plasmid	Genbank accession	Species	Isolate	BioSample Accession	SRA accession Illumina	SRA accession ONT
542099*	Chromosome	CP091384         	Escherichia Coli	542099	SAMN20698867        	SRR15408962   	SRR17645344       
p542099_1	Plasmid 1	CP091385         	Escherichia Coli	542099	SAMN20698867        	SRR15408962   	SRR17645344       
p542099_2	Plasmid 2	CP091386         	Escherichia Coli	542099	SAMN20698867        	SRR15408962   	SRR17645344       
623213	Chromsome	CP091387	Escherichia Coli	623213	SAMN10289346        	SRR8105425    	SRR17645345       
p623213_1*	Plasmid 1	CP091388	Escherichia Coli	623213	SAMN10289346        	SRR8105425    	SRR17645345       
p623213_2	Plasmid 2	CP091389	Escherichia Coli	623213	SAMN10289346        	SRR8105425    	SRR17645345       
p623213_3	Plasmid 3	CP091390	Escherichia Coli	623213	SAMN10289346        	SRR8105425    	SRR17645345       
788309	Chromsome	CP091391	Escherichia Coli	788309	SAMN20603254        	SRR15361790   	SRR17645346       
p788309_1	Plasmid 1	CP091392	Escherichia Coli	788309	SAMN20603254        	SRR15361790   	SRR17645346       
p788309_2*	Plasmid 2	CP091393	Escherichia Coli	788309	SAMN20603254        	SRR15361790   	SRR17645346       
786605	Chromsome	CP091394	Escherichia Coli	786605	SAMN12558212        	SRR9947476    	SRR17645347       
p786605_1*	Plasmid 1	CP091395	Escherichia Coli	786605	SAMN12558212        	SRR9947476    	SRR17645347       
p786605_2	Plasmid 2	CP091396	Escherichia Coli	786605	SAMN12558212        	SRR9947476    	SRR17645347       
p786605_3	Plasmid 3	CP091397	Escherichia Coli	786605	SAMN12558212        	SRR9947476    	SRR17645347       
899091*	Chromsome	CP091398	Escherichia Coli	899091	SAMN14417515        	SRR11361710   	SRR17645348       
p899091_1	Plasmid 1	CP091399	Escherichia Coli	899091	SAMN14417515        	SRR11361710   	SRR17645348       
p899091_2	Plasmid 2	CP091400	Escherichia Coli	899091	SAMN14417515        	SRR11361710   	SRR17645348       
623214*	Chromsome	CP091401	Escherichia Coli	623214	SAMN10281498        	SRR8097429    	SRR17645349       
p623214_1	Plasmid 1	CP091402	Escherichia Coli	623214	SAMN10281498        	SRR8097429    	SRR17645349       
p623214_2	Plasmid 2	CP091403	Escherichia Coli	623214	SAMN10281498        	SRR8097429    	SRR17645349       
899037	Chromsome	CP091404	Escherichia Coli	899037	SAMN14417623        	SRR11361693   	SRR17645350       
p899037_1	Plasmid 1	CP091405	Escherichia Coli	899037	SAMN14417623        	SRR11361693   	SRR17645350       
p899037_2	Plasmid 2	CP091406	Escherichia Coli	899037	SAMN14417623        	SRR11361693   	SRR17645350       
p899037_3*	Plasmid 3	CP091407	Escherichia Coli	899037	SAMN14417623        	SRR11361693   	SRR17645350       
p899037_4	Plasmid 4	CP091408	Escherichia Coli	899037	SAMN14417623        	SRR11361693   	SRR17645350       
542093*	Chromsome	CP091409	Escherichia Coli	542093	SAMN20698417        	SRR15408584   	SRR17645351       
p542093_1	Plasmid 1	CP091410	Escherichia Coli	542093	SAMN20698417        	SRR15408584   	SRR17645351       
p542093_2	Plasmid 2	CP091411	Escherichia Coli	542093	SAMN20698417        	SRR15408584   	SRR17645351       
