Cname	Genome	ClusterID	Genome_type	Length	N_contigs	Spe_Rep	Str_Rep	rank	coverage	nstrains
MGYG000002506	MGYG000002506	85	Isolate	5339468	2	True	True	1.0	24	5
MGYG000002506	MGYG000068727	42	Isolate	5514343	4	False	True	2.0	13	5
MGYG000002506	MGYG000245554	48	Isolate	5703173	3	False	True	3.0	5	5
MGYG000002506	MGYG000232699	33	Isolate	5194649	3	False	True	4.0	23	5
MGYG000002506	MGYG000020051	2	Isolate	5066380	2	False	True	5.0	24	5
MGYG000001292	MGYG000001292	81	Isolate	2832748	1	True	True	1.0	17	5
MGYG000001292	MGYG000185651	41	Isolate	2455762	2	False	True	2.0	24	5
MGYG000001292	MGYG000013885	32	Isolate	2408831	3	False	True	3.0	24	5
MGYG000001292	MGYG000164573	24	Isolate	2385164	1	False	True	4.0	15	5
MGYG000001292	MGYG000156166	1	Isolate	2340989	1	False	True	5.0	20	5
MGYG000002469	MGYG000002469	2	Isolate	2422684	1	True	True	1.0	23	5
MGYG000002469	MGYG000018553	5	Isolate	2331707	1	False	True	2.0	8	5
MGYG000002469	MGYG000269216	4	Isolate	2288911	1	False	True	3.0	11	5
MGYG000002469	MGYG000132626	13	Isolate	2269415	1	False	True	4.0	13	5
MGYG000002469	MGYG000127504	31	Isolate	2358811	1	False	True	5.0	20	5
MGYG000002395	MGYG000002395	41	Isolate	2173720	1	True	True	1.0	5	5
MGYG000002395	MGYG000053833	236	Isolate	2151773	23	False	True	2.0	8	5
MGYG000002395	MGYG000136675	258	Isolate	2084232	8	False	True	3.0	22	5
MGYG000002395	MGYG000042722	215	Isolate	2094901	8	False	True	4.0	10	5
MGYG000002395	MGYG000006554	20	Isolate	2198444	14	False	True	5.0	16	5
MGYG000003683	MGYG000003683	61	Isolate	2206268	8	True	True	1.0	12	5
MGYG000003683	MGYG000050633	102	Isolate	2369696	18	False	True	2.0	21	5
MGYG000003683	MGYG000260357	70	Isolate	2238841	21	False	True	3.0	10	5
MGYG000003683	MGYG000005165	5	MAG	2333767	36	False	True	4.0	7	5
MGYG000003683	MGYG000006853	71	Isolate	2197493	15	False	True	5.0	7	5
MGYG000002272	MGYG000070171	194	MAG	2640808	24	False	True	1.0	23	4
MGYG000002272	MGYG000002272	215	Isolate	2829978	44	True	True	2.0	14	4
MGYG000002272	MGYG000006035	32	Isolate	2942403	29	False	True	3.0	7	4
MGYG000002272	MGYG000257988	57	MAG	2228176	18	False	True	4.0	20	4
MGYG000000022	MGYG000170250	147	Isolate	2735652	54	False	True	1.0	14	4
MGYG000000022	MGYG000166196	215	Isolate	2969579	53	False	True	2.0	14	4
MGYG000000022	MGYG000011485	27	Isolate	2874869	71	False	True	3.0	23	4
MGYG000000022	MGYG000035951	201	Isolate	2974524	110	False	True	4.0	14	4
